id;x;y
0.0;94.45806196657873;68.96905111447444
0.0;94.34746120857683;69.05033154274189
0.0;94.23840122350602;69.13247642963196
0.0;94.13088174383643;69.21548280363004
0.0;94.0249028129989;69.29934705571979
0.0;93.92046475448743;69.38406491484284
0.0;93.81756813816725;69.46963142551054
0.0;93.71621374389436;69.55604092785326
0.0;93.6164025225859;69.64328704038556
0.0;93.5181355549149;69.7313626457539
0.0;93.42141400783699;69.8202598797184
0.0;93.3262390891896;69.90997012359945
0.0;93.23261200063577;70.0004840003963
0.0;93.14053388925458;70.09179137475533
0.0;93.05000579810665;70.18388135693407
0.0;92.96102861612707;70.27674231086995
0.0;92.87360302771765;70.37036186642422
0.0;92.78772946242573;70.46472693582935
0.0;92.70340804510664;70.55982373432397
0.0;92.62063854697288;70.65563780491524
0.0;92.53942033793172;70.75215404716147
0.0;92.45975234060737;70.84935674982384
0.0;92.38163298643215;70.94722962719092
0.0;92.30506017417312;71.04575585883742
0.0;92.23003123123829;71.14491813253905
0.0;92.15654287807867;71.24469869002908
0.0;92.08459119596952;71.3450793752499
0.0;92.01417159841817;71.44604168472564
0.0;91.94527880640543;71.54756681965947
0.0;91.87790682762527;71.64963573934281
0.0;91.81204893984307;71.75222921545272
0.0;91.74769767844676;71.8553278868089
0.0;91.68484482822001;71.95891231416316
0.0;91.62348141932051;72.06296303460105
0.0;91.56359772740339;72.16746061514789
0.0;91.50518327778707;72.2723857051894
0.0;91.4482268535201;72.37771908733984
0.0;91.39271650717158;72.4834417264171
0.0;91.33863957613542;72.58953481621478
0.0;91.28598270121084;72.69597982379463
0.0;91.23473184819775;72.80275853105827
0.0;91.18487233222706;72.90985307339423
0.0;91.1363888445308;73.01724597523418
0.0;91.08926548134814;73.1249201823909
0.0;91.04348577465757;73.23285909108736
0.0;90.99903272442444;73.34104657362377
0.0;90.95588883205681;73.44946700066406
0.0;90.91403613476851;73.55810526015664
0.0;90.8734562405586;73.66694677293492
0.0;90.8341303635299;73.77597750507103
0.0;90.79603935928351;73.88518397708175
0.0;90.7591637601448;73.9945532701075
